event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
cross,,,0.32899999999999996,0.373,0.23099999999999998,3.614549551422819e-05,-0.06122775856925444,-2.3974927077225416,D,A,-2.0377224675430443,-0.05703210327497987,1.7309821158105199,-4.002026212416257,0.6644910942691191,-0.42864127027209387,33.52
cross,,,0.33949999999999997,0.3925,0.2435,2.7116568671825547e-05,-0.06560070545571195,-2.3933671397526517,D,A,-2.031735212228506,-0.07974345574992114,1.7170759006867062,-3.9560106999948514,0.666086889856953,-0.42366916618166073,33.53
cross,,,0.35,0.412,0.256,0.0,-0.06997357793639436,-2.3892403072112747,D,A,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.54
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.55
note,A,transition,0.35,0.41200000000000003,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.56
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.57
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.58
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.59
note,A,transition,0.35000000000000003,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.6
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.61
note,A,transition,0.35,0.4119999999999999,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.62
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.63
note,A,transition,0.35,0.41200000000000003,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.64
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.65
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,33.660000000000004
